X,Y,Z
-308.62,-63.7875,-96.1917
-305.754,-66.743,-68.4603
-302.843,-63.2404,-92.158
-299.166,-67.7052,-72.3052
-296.708,-62.0348,-88.5004
-291.516,-66.0801,-69.9822
-290.805,-63.6009,-75.1064
-291.352,-63.3807,-77.6326
-290.55,-62.0759,-87.3599
-286.232,-66.9297,-70.7861
-287.959,-66.9577,-73.6418
-289.382,-59.7412,-80.488
-286.852,-55.717,-82.8188
-286.245,-64.4446,-91.3253
-280.005,-67.2814,-69.8081
-280.83,-64.6701,-75.9002
-280.36,-57.7336,-79.4639
-284.369,-55.3216,-83.8345
-282.26,-56.7558,-90.0845
-275.842,-59.0683,-70.1699
-277.713,-52.4089,-80.7548
-278.691,-55.5432,-86.3432
-273.193,-59.2152,-90.5559
-280.731,-54.7376,-94.8039
-270.943,-55.8355,-70.7265
-274.289,-52.815,-76.4956
-276.973,-45.9283,-81.4863
-275.024,-48.7374,-86.1281
-274.906,-47.2912,-88.0648
-268.255,-47.8102,-68.5075
-266.568,-50.8836,-74.9151
-270.731,-48.7476,-80.8937
-276.406,-39.218,-82.7042
-274.269,-45.2495,-91.0266
-274.733,-43.0171,-93.1804
-268.673,-45.342,-65.9648
-267.536,-41.7151,-68.7236
-266.414,-41.7578,-73.9312
-268.376,-44.4049,-79.0342
-268.5,-44.0427,-82.7438
-270.772,-43.6571,-90.5406
-260.839,-44.4806,-71.3211
-268.765,-37.5128,-76.7487
-268.668,-35.7587,-80.3007
-267.585,-40.4283,-85.9585
-275.259,-31.849,-84.7371
-265.186,-33.4017,-76.2584
-270.417,-28.1531,-78.6567
-270.674,-29.7731,-81.2834
-270.259,-30.1802,-86.8843
-270.189,-30.1326,-90.4923
-239.575,-41.2893,-65.2502
-262.139,-29.719,-73.8412
-269.716,-27.3727,-77.6061
-274.672,-23.3743,-83.1166
-268.277,-26.7312,-87.7438
-256.314,-25.0391,-63.0934
-261.412,-25.5949,-72.1056
-266.693,-22.6291,-76.9594
-267.353,-22.6303,-80.0885
-267.191,-22.7105,-83.054
-275.059,-21.6169,-86.3655
-275.266,-21.1343,-89.1789
-261.596,-21.4208,-67.1984
-264.329,-21.8639,-72.0261
-266.79,-17.7944,-83.3423
-271.023,-19.9098,-84.855
-273.831,-16.4825,-88.79
-269.609,-16.2347,-62.5793
-270.715,-16.5188,-64.3607
-271.138,-14.6296,-68.8325
-267.644,-15.3573,-84.7161
-270.996,-11.2679,-73.5247
